,Data,Taxa de desemprego
0,2001-01-01,14.4
1,2001-02-01,15.1
2,2001-03-01,15.5
3,2001-04-01,16.5
4,2001-05-01,16.2
5,2001-06-01,16.0
6,2001-07-01,15.5
7,2001-08-01,15.9
8,2001-09-01,16.6
9,2001-10-01,17.0
10,2001-11-01,16.5
11,2001-12-01,16.3
12,2002-01-01,16.5
13,2002-02-01,17.8
14,2002-03-01,18.5
15,2002-04-01,19.0
16,2002-05-01,18.3
17,2002-06-01,17.5
18,2002-07-01,16.8
19,2002-08-01,17.0
20,2002-09-01,18.0
21,2002-10-01,18.2
22,2002-11-01,18.1
23,2002-12-01,17.7
24,2003-01-01,17.9
25,2003-02-01,18.6
26,2003-03-01,18.9
27,2003-04-01,19.5
28,2003-05-01,19.5
29,2003-06-01,19.4
30,2003-07-01,18.7
31,2003-08-01,18.5
32,2003-09-01,18.8
33,2003-10-01,18.7
34,2003-11-01,18.2
35,2003-12-01,17.8
36,2004-01-01,18.1
37,2004-02-01,19.1
38,2004-03-01,20.4
39,2004-04-01,20.5
40,2004-05-01,19.7
41,2004-06-01,18.5
42,2004-07-01,17.7
43,2004-08-01,17.3
44,2004-09-01,17.2
45,2004-10-01,17.2
46,2004-11-01,16.8
47,2004-12-01,16.4
48,2005-01-01,15.9
49,2005-02-01,16.1
50,2005-03-01,15.9
51,2005-04-01,15.9
52,2005-05-01,16.0
53,2005-06-01,16.1
54,2005-07-01,16.2
55,2005-08-01,15.4
56,2005-09-01,15.4
57,2005-10-01,15.8
58,2005-11-01,15.9
59,2005-12-01,15.4
60,2006-01-01,15.0
61,2006-02-01,15.8
62,2006-03-01,16.0
63,2006-04-01,16.1
64,2006-05-01,15.9
65,2006-06-01,15.7
66,2006-07-01,15.2
67,2006-08-01,14.4
68,2006-09-01,13.6
69,2006-10-01,13.0
70,2006-11-01,12.6
71,2006-12-01,13.4
72,2007-01-01,13.4
73,2007-02-01,14.3
74,2007-03-01,14.6
75,2007-04-01,15.3
76,2007-05-01,14.2
77,2007-06-01,13.4
78,2007-07-01,13.7
79,2007-08-01,14.2
80,2007-09-01,14.5
81,2007-10-01,14.0
82,2007-11-01,13.9
83,2007-12-01,13.2
84,2008-01-01,13.0
85,2008-02-01,13.1
86,2008-03-01,13.7
87,2008-04-01,13.5
88,2008-05-01,13.0
89,2008-06-01,12.7
90,2008-07-01,12.7
91,2008-08-01,12.8
92,2008-09-01,12.7
93,2008-10-01,12.1
94,2008-11-01,11.8
95,2008-12-01,11.0
96,2009-01-01,11.2
97,2009-02-01,12.3
98,2009-03-01,14.2
99,2009-04-01,14.6
100,2009-05-01,14.0
101,2009-06-01,13.1
102,2009-07-01,13.4
103,2009-08-01,13.1
104,2009-09-01,12.8
105,2009-10-01,12.0
106,2009-11-01,11.9
107,2009-12-01,11.5
108,2010-01-01,11.7
109,2010-02-01,11.7
110,2010-03-01,12.1
111,2010-04-01,12.0
112,2010-05-01,12.2
113,2010-06-01,11.8
114,2010-07-01,12.0
115,2010-08-01,11.9
116,2010-09-01,11.6
117,2010-10-01,10.7
118,2010-11-01,10.3
119,2010-12-01,9.5
120,2011-01-01,9.8
121,2011-02-01,9.8
122,2011-03-01,10.9
123,2011-04-01,10.8
124,2011-05-01,10.2
125,2011-06-01,10.3
126,2011-07-01,10.5
127,2011-08-01,10.4
128,2011-09-01,9.8
129,2011-10-01,9.3
130,2011-11-01,9.0
131,2011-12-01,8.3
132,2012-01-01,8.8
133,2012-02-01,9.1
134,2012-03-01,9.9
135,2012-04-01,10.4
136,2012-05-01,10.4
137,2012-06-01,10.8
138,2012-07-01,10.5
139,2012-08-01,11.4
140,2012-09-01,10.8
141,2012-10-01,10.4
142,2012-11-01,9.3
143,2012-12-01,9.2
144,2013-01-01,9.1
145,2013-02-01,9.4
146,2013-03-01,10.0
147,2013-04-01,10.5
148,2013-05-01,10.5
149,2013-06-01,10.2
150,2013-07-01,10.0
151,2013-08-01,9.7
152,2013-09-01,9.5
153,2013-10-01,9.3
154,2013-11-01,8.9
155,2013-12-01,9.0
156,2014-01-01,9.2
157,2014-02-01,10.1
158,2014-03-01,10.7
159,2014-04-01,11.0
160,2014-05-01,10.8
161,2014-06-01,10.6
162,2014-07-01,10.8
163,2014-08-01,10.7
164,2014-09-01,10.2
165,2014-10-01,9.6
166,2014-11-01,9.6
167,2014-12-01,9.7
168,2015-01-01,9.5
169,2015-02-01,10.4
170,2015-03-01,10.8
171,2015-04-01,12.2
172,2015-05-01,12.5
173,2015-06-01,13.5
174,2015-07-01,13.8
175,2015-08-01,13.6
176,2015-09-01,13.6
177,2015-10-01,14.1
178,2015-11-01,13.8
179,2015-12-01,13.1
180,2016-01-01,12.4
181,2016-02-01,13.4
182,2016-03-01,14.6
183,2016-04-01,16.4
184,2016-05-01,16.8
185,2016-06-01,17.2
186,2016-07-01,16.6
187,2016-08-01,16.8
188,2016-09-01,17.1
189,2016-10-01,16.6
190,2016-11-01,16.0
191,2016-12-01,15.3
192,2017-01-01,16.0
193,2017-02-01,17.0
194,2017-03-01,18.1
195,2017-04-01,18.6
196,2017-05-01,18.3
197,2017-06-01,17.6
198,2017-07-01,17.1
199,2017-08-01,16.9
200,2017-09-01,16.8
201,2017-10-01,17.0
202,2017-11-01,16.5
203,2017-12-01,16.5
204,2018-01-01,15.6
205,2018-02-01,15.7
206,2018-03-01,16.3
207,2018-04-01,16.8
208,2018-05-01,16.8
209,2018-06-01,16.3
210,2018-07-01,16.2
211,2018-08-01,16.7
212,2018-09-01,15.9
213,2018-10-01,15.4
214,2018-11-01,14.8
215,2018-12-01,14.6
